id,name,count,ap1,ap2,ap3,ap4,ap5
6,Nova rota cicloviária,497,138,181,174,23,8
8,Redução da velocidade máxima para automóveis,49,11,16,17,0,4
1,Nova travessia de pedestre,71,16,18,26,6,1
2,Reajuste do tempo do semáforo,132,12,74,39,14,5
3,Novo ponto de ônibus,112,31,17,68,14,5
10,Alargamento de calçada,0,0,0,0,0,0
11,Novo corredor de alta capacidade,0,0,0,0,0,0
4,Novo terminal de ônibus,64,5,8,22,4,6
5,Novo posto de BikeRio,240,94,90,88,23,7
9,Novo bicicletário,0,0,0,0,0,0
7,Restrição do tráfego de automóveis,82,5,28,27,2,14
